%Molecule Name    : M-Xylene
%Description      :  p-silicalite gcmc final run
%Temperature      :     300.00
%Max Loading/uc   :       6.00
%Number of Points : 4001
%Type of file     :    2
%  Pressure     N         sigma      
%  kpa          mol/uc    ,ol/uc     
  1.615000000000000E-003   1.43897032260927        1.24250270767731     
  1.620000000000000E-003   1.44271186440184        1.24695772547636     
  1.625000000000000E-003   1.44645155962904        1.25140834696272     
  1.630000000000000E-003   1.45018941487978        1.25585896844908     
  1.635000000000000E-003   1.45392543669930        1.26030522489292     
  1.640000000000000E-003   1.45765963158964        1.26475148133676     
  1.645000000000000E-003   1.46139200601001        1.26919340359659     
  1.650000000000000E-003   1.46512256637723        1.27363532585641     
  1.655000000000000E-003   1.46885131906613        1.27807294438697     
  1.660000000000000E-003   1.47257827040997        1.28251056291753     
  1.665000000000000E-003   1.47630342670079        1.28694390777747     
  1.670000000000000E-003   1.48002679418985        1.29137725263742     
  1.675000000000000E-003   1.48374837908796        1.29580635349682     
  1.680000000000000E-003   1.48746818756594        1.30023545435623     
  1.685000000000000E-003   1.49118622575490        1.30466034050387     
  1.690000000000000E-003   1.49490249974672        1.30908522665150     
  1.695000000000000E-003   1.49861701559431        1.31350592700199     
  1.700000000000000E-003   1.50232977931205        1.31792662735249     
  1.705000000000000E-003   1.50604079687610        1.32234317045324     
  1.710000000000000E-003   1.50975007422481        1.32675971355399     
  1.715000000000000E-003   1.51345761725900        1.33117212759198     
  1.720000000000000E-003   1.51716343184234        1.33558454162998     
  1.725000000000000E-003   1.52086752380173        1.33999285443839     
  1.730000000000000E-003   1.52456989892755        1.34440116724679     
  1.735000000000000E-003   1.52827056297407        1.34880540631144     
  1.740000000000000E-003   1.53196952165974        1.35320964537609     
  1.745000000000000E-003   1.53566678066752        1.35760983784176     
  1.750000000000000E-003   1.53936234564523        1.36201003030743     
  1.755000000000000E-003   1.54305622220581        1.36640620298402     
  1.760000000000000E-003   1.54674841592769        1.37080237566060     
  1.765000000000000E-003   1.55043893235508        1.37519455502912     
  1.770000000000000E-003   1.55412777699826        1.37958673439764     
  1.775000000000000E-003   1.55781495533390        1.38397494661610     
  1.780000000000000E-003   1.56150047280535        1.38836315883456     
  1.785000000000000E-003   1.56518433482296        1.39274742974369     
  1.790000000000000E-003   1.56886654676434        1.39713170065282     
  1.795000000000000E-003   1.57254711397466        1.40151205578167     
  1.800000000000000E-003   1.57622604176693        1.40589241091052     
  1.805000000000000E-003   1.57990333542232        1.41026887548194     
  1.810000000000000E-003   1.58357900019038        1.41464534005336     
  1.815000000000000E-003   1.58725304128935        1.41901793898932     
  1.820000000000000E-003   1.59092546390644        1.42339053792529     
  1.825000000000000E-003   1.59459627319807        1.42775929585213     
  1.830000000000000E-003   1.59826547429015        1.43212805377897     
  1.835000000000000E-003   1.60193307227837        1.43649299503248     
  1.840000000000000E-003   1.60559907222842        1.44085793628599     
  1.845000000000000E-003   1.60926347917626        1.44521908491641     
  1.850000000000000E-003   1.61292629812838        1.44958023354684     
  1.855000000000000E-003   1.61658753406206        1.45393761332373     
  1.860000000000000E-003   1.62024719192561        1.45829499310062     
  1.865000000000000E-003   1.62390527663858        1.46264862751763     
  1.870000000000000E-003   1.62756179309209        1.46700226193465     
  1.875000000000000E-003   1.63121674614899        1.47135217421418     
